마산항 ( 경상남도 창원시 성산구 적현로 424 (귀곡동) ),,,,,,,,,,,,
,,,,,,,,,,,,
날짜,PM10,,PM2.5,,오존,,이산화질소,,일산화탄소,,아황산가스,
(년-월-일:시),(㎍/㎥),,(㎍/㎥),,(ppm),,(ppm),,(ppm),,(ppm),
,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간
2024-04-21:21,좋음,12,좋음,8,보통,0.0334,좋음,0.0109,좋음,0.28,좋음,0.0021
2024-04-21:20,좋음,13,,,보통,0.0355,좋음,0.0091,좋음,0.28,좋음,0.0020
2024-04-21:19,좋음,10,좋음,5,보통,0.0325,좋음,0.0114,좋음,0.28,좋음,0.0020
2024-04-21:18,좋음,23,보통,19,좋음,0.0262,좋음,0.0149,좋음,0.33,좋음,0.0019
2024-04-21:17,좋음,13,좋음,8,좋음,0.0226,좋음,0.0121,좋음,0.29,좋음,0.0018
2024-04-21:16,좋음,16,좋음,14,좋음,0.0230,좋음,0.0129,좋음,0.28,좋음,0.0018
2024-04-21:15,좋음,14,좋음,14,좋음,0.0250,좋음,0.0140,좋음,0.27,좋음,0.0019
2024-04-21:14,좋음,8,,,좋음,0.0243,좋음,0.0132,좋음,0.30,좋음,0.0017
2024-04-21:13,좋음,16,좋음,9,좋음,0.0218,좋음,0.0129,좋음,0.31,좋음,0.0019
2024-04-21:12,좋음,19,좋음,12,좋음,0.0204,좋음,0.0135,좋음,0.31,좋음,0.0017
2024-04-21:11,좋음,14,좋음,14,좋음,0.0218,좋음,0.0106,좋음,0.28,좋음,0.0017
2024-04-21:10,좋음,15,좋음,8,좋음,0.0216,좋음,0.0107,좋음,0.28,좋음,0.0017
2024-04-21:09,좋음,10,,,좋음,0.0213,좋음,0.0115,좋음,0.25,좋음,0.0016
2024-04-21:08,좋음,17,좋음,8,좋음,0.0228,좋음,0.0110,좋음,0.24,좋음,0.0017
2024-04-21:07,좋음,7,,,좋음,0.0225,좋음,0.0124,좋음,0.23,좋음,0.0016
2024-04-21:06,,,좋음,6,좋음,0.0264,좋음,0.0087,좋음,0.22,좋음,0.0015
2024-04-21:05,좋음,2,,,좋음,0.0298,좋음,0.0074,좋음,0.20,좋음,0.0016
2024-04-21:04,좋음,1,,,보통,0.0320,좋음,0.0072,좋음,0.19,좋음,0.0017
2024-04-21:03,좋음,1,,,보통,0.0362,좋음,0.0056,좋음,0.18,좋음,0.0017
2024-04-21:02,좋음,3,,,보통,0.0362,좋음,0.0079,좋음,0.19,좋음,0.0016
2024-04-21:01,좋음,1,,,보통,0.0367,좋음,0.0089,좋음,0.20,좋음,0.0017
2024-04-20:24,,,좋음,3,보통,0.0380,좋음,0.0080,좋음,0.22,좋음,0.0016
2024-04-20:23,좋음,2,,,보통,0.0344,좋음,0.0107,좋음,0.23,좋음,0.0016
2024-04-20:22,좋음,3,,,보통,0.0354,좋음,0.0118,좋음,0.21,좋음,0.0016
2024-04-20:21,좋음,3,좋음,3,보통,0.0313,좋음,0.0158,좋음,0.20,좋음,0.0015
