지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%)
264,함양군,2024-04-18 05:00,7.8,,.2,0,94
264,함양군,2024-04-18 06:00,7.4,,.2,0,95
264,함양군,2024-04-18 07:00,8.2,,.2,0,96
264,함양군,2024-04-18 08:00,11.8,,.2,0,83
264,함양군,2024-04-18 09:00,15.7,,1.9,50,62
264,함양군,2024-04-18 10:00,18.7,,1.5,360,48
264,함양군,2024-04-18 11:00,21.7,,.9,320,27
264,함양군,2024-04-18 12:00,23.2,,1,320,23
264,함양군,2024-04-18 13:00,24.6,,1.1,360,28
264,함양군,2024-04-18 14:00,25.1,,1.5,340,27
264,함양군,2024-04-18 15:00,25.8,,1.9,270,28
264,함양군,2024-04-18 16:00,25.5,,2.3,200,26
264,함양군,2024-04-18 17:00,26.4,,.5,250,22
264,함양군,2024-04-18 18:00,25.5,,1.9,320,25
264,함양군,2024-04-18 19:00,20.8,,.9,200,37
264,함양군,2024-04-18 20:00,16.6,,.6,160,54
264,함양군,2024-04-18 21:00,15.2,,.4,0,62
264,함양군,2024-04-18 22:00,13.5,,.2,0,72
264,함양군,2024-04-18 23:00,12.3,,.1,0,80
264,함양군,2024-04-19 00:00,11.5,,0,0,84
264,함양군,2024-04-19 01:00,10.8,,.4,0,87
264,함양군,2024-04-19 02:00,10.3,,.3,0,88
264,함양군,2024-04-19 03:00,9.2,,.1,0,91
264,함양군,2024-04-19 04:00,8.4,,.3,0,93
264,함양군,2024-04-19 05:00,8,,.1,0,94
264,함양군,2024-04-19 06:00,7.5,,.3,0,95
264,함양군,2024-04-19 07:00,8,,.2,0,95
264,함양군,2024-04-19 08:00,11.5,,.3,0,85
264,함양군,2024-04-19 09:00,16.2,,.7,140,59
264,함양군,2024-04-19 10:00,20.2,,1.7,50,43
264,함양군,2024-04-19 11:00,24.3,,1.4,50,27
264,함양군,2024-04-19 12:00,26.4,,2.7,250,15
264,함양군,2024-04-19 13:00,27.2,,3.5,200,14
264,함양군,2024-04-19 14:00,27.8,,2.6,200,14
264,함양군,2024-04-19 15:00,27.8,,3.7,250,18
264,함양군,2024-04-19 16:00,27.5,,3.4,250,20
264,함양군,2024-04-19 17:00,26.4,,3.4,250,23
264,함양군,2024-04-19 18:00,25.3,,1.7,230,24
264,함양군,2024-04-19 19:00,23.3,,.9,230,28
264,함양군,2024-04-19 20:00,18.8,,.7,200,46
264,함양군,2024-04-19 21:00,17,,0,0,59
264,함양군,2024-04-19 22:00,15.9,,.1,0,65
264,함양군,2024-04-19 23:00,15.1,,0,0,70
264,함양군,2024-04-20 00:00,14.7,,.4,0,69
264,함양군,2024-04-20 01:00,14,,.3,0,75
264,함양군,2024-04-20 02:00,13.6,,.2,0,77
264,함양군,2024-04-20 03:00,13.2,,.9,230,78
264,함양군,2024-04-20 04:00,13,,.9,70,81
264,함양군,2024-04-20 05:00,13.2,,.4,0,79
264,함양군,2024-04-20 06:00,13.5,,1.1,20,76
264,함양군,2024-04-20 07:00,13.7,,.3,0,76
264,함양군,2024-04-20 08:00,14,,3.7,110,73
264,함양군,2024-04-20 09:00,13.6,.2,1.3,90,82
264,함양군,2024-04-20 10:00,13.8,.4,1.9,90,82
264,함양군,2024-04-20 11:00,13.6,.8,2.8,50,81
264,함양군,2024-04-20 12:00,12.9,2.3,3.6,70,89
264,함양군,2024-04-20 13:00,13.2,.7,1.8,70,91
264,함양군,2024-04-20 14:00,13.5,.8,4.2,50,91
264,함양군,2024-04-20 15:00,13.9,.1,3.5,50,89
264,함양군,2024-04-20 16:00,13.7,.4,3.1,70,92
264,함양군,2024-04-20 17:00,14,.2,2.7,50,93
264,함양군,2024-04-20 18:00,14.4,.3,3,50,92
264,함양군,2024-04-20 19:00,14.2,.1,3.7,50,91
264,함양군,2024-04-20 20:00,14,,3.2,50,91
264,함양군,2024-04-20 21:00,13.9,,2.6,50,91
264,함양군,2024-04-20 22:00,13.8,,1.7,50,93
264,함양군,2024-04-20 23:00,13.6,,1.8,70,93
264,함양군,2024-04-21 00:00,13.4,.1,1.2,90,92
264,함양군,2024-04-21 01:00,13.4,,1,90,91
264,함양군,2024-04-21 02:00,13.2,,.2,0,92
264,함양군,2024-04-21 03:00,13.2,,.2,0,93
264,함양군,2024-04-21 04:00,13.2,,.3,0,93
264,함양군,2024-04-21 05:00,13.2,,.3,0,94
264,함양군,2024-04-21 06:00,13.2,.1,.1,0,93
264,함양군,2024-04-21 07:00,13.4,.1,1.4,180,94
264,함양군,2024-04-21 08:00,13.6,.6,.4,0,94
264,함양군,2024-04-21 09:00,14,.6,.3,0,93
264,함양군,2024-04-21 10:00,14.3,.6,1.1,90,92
264,함양군,2024-04-21 11:00,14.5,1,.9,70,92
264,함양군,2024-04-21 12:00,14.7,.2,.6,90,91
264,함양군,2024-04-21 13:00,15,.1,1.2,90,91
264,함양군,2024-04-21 14:00,15.4,.2,.1,0,90
264,함양군,2024-04-21 15:00,15.4,.6,.4,0,90
264,함양군,2024-04-21 16:00,15.3,.8,.9,90,91
264,함양군,2024-04-21 17:00,15.3,.3,.5,110,91
264,함양군,2024-04-21 18:00,15.3,,.2,0,91
264,함양군,2024-04-21 19:00,14.9,.1,.8,160,92
264,함양군,2024-04-21 20:00,14.6,,.8,110,93
264,함양군,2024-04-21 21:00,14.3,,1.4,110,93
264,함양군,2024-04-21 22:00,14.3,,1,140,91
264,함양군,2024-04-21 23:00,14,,.3,0,92
264,함양군,2024-04-22 00:00,13.9,,.2,0,93
264,함양군,2024-04-22 01:00,13.5,,.3,0,93
264,함양군,2024-04-22 02:00,13.2,,.5,360,93
264,함양군,2024-04-22 03:00,13,,.6,160,93
264,함양군,2024-04-22 04:00,12.9,,.1,0,93
264,함양군,2024-04-22 05:00,12.8,,0,0,93
264,함양군,2024-04-22 06:00,12.9,,.4,0,94
264,함양군,2024-04-22 07:00,13.1,,.4,0,94
264,함양군,2024-04-22 08:00,13.7,,.1,0,93
264,함양군,2024-04-22 09:00,14.9,,0,0,83
264,함양군,2024-04-22 10:00,15.5,,0,0,77
264,함양군,2024-04-22 11:00,15.7,,.9,90,78
264,함양군,2024-04-22 12:00,15.9,,1.3,50,75
264,함양군,2024-04-22 13:00,16.5,,1.4,70,69
264,함양군,2024-04-22 14:00,17,,1.5,50,67
264,함양군,2024-04-22 15:00,17.7,,1.2,90,64
264,함양군,2024-04-22 16:00,16.8,,2,110,67
264,함양군,2024-04-22 17:00,16.1,,1.6,90,69
264,함양군,2024-04-22 18:00,15.6,,.8,90,74
264,함양군,2024-04-22 19:00,14.4,,.7,90,83
264,함양군,2024-04-22 20:00,12.4,,.2,0,89
264,함양군,2024-04-22 21:00,11.2,,0,0,92
264,함양군,2024-04-22 22:00,10.3,,.8,200,93
264,함양군,2024-04-22 23:00,9.4,,.9,160,93
264,함양군,2024-04-23 00:00,8.6,,.1,0,94
264,함양군,2024-04-23 01:00,8,,.1,0,94
264,함양군,2024-04-23 02:00,7.6,,0,0,94
264,함양군,2024-04-23 03:00,7.8,,.4,0,95
264,함양군,2024-04-23 04:00,7.9,,.2,0,95
264,함양군,2024-04-23 05:00,7.4,,.5,180,95
264,함양군,2024-04-23 06:00,7,,.3,0,95
264,함양군,2024-04-23 07:00,7.2,,.1,0,95
264,함양군,2024-04-23 08:00,9.2,,.2,0,95
264,함양군,2024-04-23 09:00,13.7,,1,50,74
264,함양군,2024-04-23 10:00,16.7,,2.5,20,56
264,함양군,2024-04-23 11:00,17.6,,3.1,50,52
264,함양군,2024-04-23 12:00,18.4,,2.9,20,51
264,함양군,2024-04-23 13:00,18.9,,1.9,20,50
264,함양군,2024-04-23 14:00,18.8,,3.1,90,50
264,함양군,2024-04-23 15:00,19.1,,2.9,50,49
264,함양군,2024-04-23 16:00,18.4,,1.6,70,53
264,함양군,2024-04-23 17:00,17.5,,1.6,110,57
264,함양군,2024-04-23 18:00,16.3,,1.4,140,67
264,함양군,2024-04-23 19:00,15.2,,1.1,90,71
264,함양군,2024-04-23 20:00,13.5,.8,1,50,87
264,함양군,2024-04-23 21:00,12.8,0,.4,0,90
264,함양군,2024-04-23 22:00,12.6,,.3,0,90
264,함양군,2024-04-23 23:00,12.2,.4,.9,70,91
264,함양군,2024-04-24 00:00,12,.3,.7,140,92
264,함양군,2024-04-24 01:00,11.9,,.8,90,93
264,함양군,2024-04-24 02:00,11.8,,.1,0,93
264,함양군,2024-04-24 03:00,11.7,0,.5,90,93
264,함양군,2024-04-24 04:00,11.6,,.5,90,93
264,함양군,2024-04-24 05:00,11.5,,.2,0,93
264,함양군,2024-04-24 06:00,11.5,,.8,70,93
264,함양군,2024-04-24 07:00,11.7,0,.2,0,92
264,함양군,2024-04-24 08:00,12.5,1.2,.7,340,91
264,함양군,2024-04-24 09:00,13.7,,1,20,84
264,함양군,2024-04-24 10:00,15.2,.8,5.3,230,65
264,함양군,2024-04-24 11:00,15.9,,3.2,250,61
264,함양군,2024-04-24 12:00,16.3,,3.7,250,59
264,함양군,2024-04-24 13:00,16.8,,3.8,270,55
264,함양군,2024-04-24 14:00,17.4,,3.9,230,50
264,함양군,2024-04-24 15:00,18.4,,4,250,48
264,함양군,2024-04-24 16:00,18,,3.4,250,47
264,함양군,2024-04-24 17:00,18.6,,3.6,250,46
264,함양군,2024-04-24 18:00,16.6,,4,230,54
