瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%)
192,柳林,2024-03-01 02:00,1,,.1,0,96
192,柳林,2024-03-01 03:00,.8,,0,0,97
192,柳林,2024-03-01 04:00,0,,0,0,96
192,柳林,2024-03-01 05:00,-.5,,0,0,97
192,柳林,2024-03-01 06:00,-1.2,,.9,20,96
192,柳林,2024-03-01 07:00,.5,,3,360,54
192,柳林,2024-03-01 08:00,.6,,2.9,360,49
192,柳林,2024-03-01 09:00,1.3,,3.1,360,36
192,柳林,2024-03-01 10:00,2.5,,2.8,340,32
192,柳林,2024-03-01 11:00,3.6,,3.1,360,27
192,柳林,2024-03-01 12:00,4.1,,3.6,360,25
192,柳林,2024-03-01 13:00,4.3,,4.3,360,23
192,柳林,2024-03-01 14:00,5,,3.7,360,23
192,柳林,2024-03-01 15:00,4.8,,4.3,340,24
192,柳林,2024-03-01 16:00,3.9,,4.2,320,29
192,柳林,2024-03-01 17:00,2.5,,3.5,340,31
192,柳林,2024-03-01 18:00,1.2,,2.4,360,31
192,柳林,2024-03-01 19:00,0,,3.2,320,36
192,柳林,2024-03-01 20:00,-1,,2.1,360,37
192,柳林,2024-03-01 21:00,-2,,1.8,360,37
192,柳林,2024-03-01 22:00,-2.4,,2.9,340,38
192,柳林,2024-03-01 23:00,-3.3,,2.5,360,36
192,柳林,2024-03-02 00:00,-3.9,,2,20,36
192,柳林,2024-03-02 01:00,-4.2,,2.1,360,35
192,柳林,2024-03-02 02:00,-4.4,,2.2,340,37
192,柳林,2024-03-02 03:00,-5,,1.7,360,41
192,柳林,2024-03-02 04:00,-4.9,,1.6,20,43
192,柳林,2024-03-02 05:00,-5,,1.4,360,47
192,柳林,2024-03-02 06:00,-4.6,,1.2,340,48
192,柳林,2024-03-02 07:00,-4.5,,1.3,340,52
192,柳林,2024-03-02 08:00,-4.4,,1,140,50
192,柳林,2024-03-02 09:00,-2.8,,1.1,160,44
192,柳林,2024-03-02 10:00,-1.2,,1.3,230,39
192,柳林,2024-03-02 11:00,.7,,1.6,270,35
