tm,pm10,pm25,o3,no2,co,so2,,,,,,
2024-02-25:01,좋음,11,좋음,9,보통,0.0308,좋음,0.0090,좋음,0.33,좋음,0.0022
2024-02-24:24,좋음,14,좋음,8,좋음,0.0295,좋음,0.0109,좋음,0.35,좋음,0.0022
2024-02-24:23,좋음,16,좋음,9,보통,0.0309,좋음,0.0126,좋음,0.36,좋음,0.0020
2024-02-24:22,좋음,19,좋음,8,보통,0.0323,좋음,0.0117,좋음,0.34,좋음,0.0022
2024-02-24:21,좋음,19,좋음,10,보통,0.0340,좋음,0.0115,좋음,0.35,좋음,0.0021
2024-02-24:20,좋음,20,좋음,7,보통,0.0361,좋음,0.0104,좋음,0.33,좋음,0.0024
2024-02-24:19,좋음,19,좋음,6,보통,0.0375,좋음,0.0100,좋음,0.32,좋음,0.0022
2024-02-24:18,좋음,15,좋음,5,보통,0.0403,좋음,0.0085,좋음,0.29,좋음,0.0021
2024-02-24:17,좋음,14,좋음,7,보통,0.0410,좋음,0.0070,좋음,0.27,좋음,0.0022
2024-02-24:16,좋음,20,좋음,9,보통,0.0411,좋음,0.0073,좋음,0.27,좋음,0.0024
2024-02-24:15,좋음,21,좋음,7,보통,0.0416,좋음,0.0073,좋음,0.27,좋음,0.0023
2024-02-24:14,좋음,21,좋음,10,보통,0.0416,좋음,0.0069,좋음,0.27,좋음,0.0022
2024-02-24:13,좋음,13,좋음,8,보통,0.0404,좋음,0.0070,좋음,0.27,좋음,0.0021
2024-02-24:12,좋음,13,좋음,7,보통,0.0375,좋음,0.0087,좋음,0.28,좋음,0.0021
2024-02-24:11,좋음,10,좋음,5,보통,0.0364,좋음,0.0100,좋음,0.29,좋음,0.0022
2024-02-24:10,좋음,13,좋음,4,보통,0.0369,좋음,0.0104,좋음,0.31,좋음,0.0025
2024-02-24:09,좋음,13,좋음,4,보통,0.0311,좋음,0.0161,좋음,0.31,좋음,0.0022
2024-02-24:08,좋음,11,좋음,5,보통,0.0352,좋음,0.0119,좋음,0.32,좋음,0.0022
2024-02-24:07,좋음,12,좋음,6,보통,0.0357,좋음,0.0112,좋음,0.30,좋음,0.0019
2024-02-24:06,좋음,10,좋음,8,보통,0.0385,좋음,0.0082,좋음,0.30,좋음,0.0022
2024-02-24:05,좋음,13,좋음,7,보통,0.0396,좋음,0.0066,좋음,0.30,좋음,0.0021
2024-02-24:04,좋음,11,좋음,8,보통,0.0377,좋음,0.0072,좋음,0.31,좋음,0.0019
2024-02-24:03,좋음,9,좋음,6,보통,0.0373,좋음,0.0078,좋음,0.31,좋음,0.0021
2024-02-24:02,좋음,10,좋음,6,보통,0.0368,좋음,0.0087,좋음,0.32,좋음,0.0020
2024-02-24:01,좋음,9,좋음,4,보통,0.0387,좋음,0.0070,좋음,0.28,좋음,0.0021
